"[1.0, 0.0, 0.0]","[0.0, -1.0, 0.0]","[0.0, 0.0, -1.0]"
"[0.9510565400123596, 0.2628655731678009, 0.1624598503112793]","[0.2628655731678009, -0.964584231376648, 0.021888192743062973]","[0.1624598503112793, 0.021888192743062973, -0.986472487449646]"
"[0.9510565400123596, 0.2628655731678009, -0.1624598503112793]","[0.2628655731678009, -0.964584231376648, -0.021888192743062973]","[-0.1624598503112793, -0.021888192743062973, -0.986472487449646]"
"[0.9864723682403564, 0.1624598503112793, 0.021888192743062973]","[0.1624598503112793, -0.9510565996170044, -0.2628655731678009]","[-0.021888192743062973, 0.2628655731678009, -0.964584231376648]"
"[0.9645841717720032, -0.021888192743062973, 0.2628655731678009]","[0.021888192743062973, -0.986472487449646, -0.1624598503112793]","[0.2628655731678009, 0.1624598503112793, -0.9510565996170044]"
"[0.9645841717720032, 0.021888192743062973, 0.2628655731678009]","[-0.021888192743062973, -0.986472487449646, 0.1624598503112793]","[0.2628655731678009, -0.1624598503112793, -0.9510565996170044]"
"[0.9645841717720032, 0.021888192743062973, -0.2628655731678009]","[-0.021888192743062973, -0.986472487449646, -0.1624598503112793]","[-0.2628655731678009, 0.1624598503112793, -0.9510565996170044]"
"[0.9645841717720032, -0.021888192743062973, -0.2628655731678009]","[0.021888192743062973, -0.986472487449646, 0.1624598503112793]","[-0.2628655731678009, -0.1624598503112793, -0.9510565996170044]"
"[0.9864723682403564, -0.1624598503112793, -0.021888192743062973]","[-0.1624598503112793, -0.9510565996170044, -0.2628655731678009]","[0.021888192743062973, 0.2628655731678009, -0.964584231376648]"
"[0.9510565400123596, -0.2628655731678009, 0.1624598503112793]","[-0.2628655731678009, -0.964584231376648, -0.021888192743062973]","[0.1624598503112793, -0.021888192743062973, -0.986472487449646]"
"[0.9510565400123596, -0.2628655731678009, -0.1624598503112793]","[-0.2628655731678009, -0.964584231376648, 0.021888192743062973]","[-0.1624598503112793, 0.021888192743062973, -0.986472487449646]"
"[0.8580570816993713, 0.5135543346405029, 0.0]","[0.5135543346405029, -0.8580571413040161, 0.0]","[0.0, 0.0, -1.0]"
"[0.8935428261756897, 0.3935427963733673, 0.2161141335964203]","[0.4374055564403534, -0.871611475944519, -0.2212914377450943]","[0.10127990692853928, 0.2922629117965698, -0.9509600400924683]"
"[0.8935428261756897, 0.4374055564403534, -0.10127990692853928]","[0.3935427963733673, -0.871611475944519, -0.2922629117965698]","[-0.2161141335964203, 0.2212914377450943, -0.9509600400924683]"
"[0.8716114163398743, 0.2212914377450943, 0.4374055564403534]","[0.2922629117965698, -0.9509600400924683, -0.10127990692853928]","[0.3935427963733673, 0.2161141335964203, -0.8935428857803345]"
"[0.8716114163398743, 0.2922629117965698, 0.3935427963733673]","[0.2212914377450943, -0.9509600400924683, 0.2161141335964203]","[0.4374055564403534, -0.10127990692853928, -0.8935428857803345]"
